artist_id,genres
00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']"
00UOluVoYY4F2blO5DmgRj,['atl trap']
010JjFqFcVyJmc2G56puZ2,[]
01Ppu7N8uYJI8SAONo2YZA,"['ectofolk', 'heartland rock', 'lilith', 'pop rock', 'singer-songwriter']"
01QTIT5P1pFP3QnnFSdsJf,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
01U4snBkRWq0FBrK3P1mwM,[]
01WjpKiWVNurV5hjIadB8C,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'nu metal', 'post-grunge']"
01ZpL2TZ4QxYNDLc70RIiT,[]
01dlLJybM3GViX6MmleD2N,[]
01lz5VBfkMFDteSA9pKJuP,"['boy band', 'neon pop punk', 'pixie']"
021hNAnkFIbyFyL97br6NB,"['contemporary country', 'country', 'country dawn', 'country road']"
027TpXKGwdXP7iwbjUSpV8,"['chicago indie', 'pov: indie']"
028lPW2NdWHdSPCkRkcyhd,[]
02A3cEvlLLCbIMVDrK2GHV,['aussietronica']
02JTFUpX3CgLWXNKEXIvcb,"['contemporary r&b', 'new jack swing']"
02NfyD6AlLA12crYzw5YcR,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'grunge', 'nu metal', 'permanent wave', 'rock']"
02QYcz7JjwzKiKGHg53rZY,['dancehall queen']
02ZtVIjKL1PYLlMmP1sz0h,['pop r&b']
02ehFoytLUjat0JMYpYsml,[]
02kJSzxNuaWGqwubyUba0Z,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
02rd0anEWfMtF7iMku9uor,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road']"
030sRm1rnXI9MeQ23pdax8,"['atl hip hop', 'dirty south rap', 'southern hip hop']"
03a5eVjzFyQlR4XyVSwt4t,"['contemporary country', 'country road']"
03ilIKH0i08IxmjKcn63ne,[]
03qM4LmPCrR7CuHTE0WAIW,"['gospel', 'gospel r&b']"
03r4iKL2g2442PT9n2UKsx,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']"
03tfKFHhDoDqF73vCI3cxn,"['country pop', 'modern country rock']"
048LktY5zMnakWq7PTtFrz,"['afro r&b', 'afrobeats']"
04T7QEqAiQBW12loi1g2CO,[]
04V6nCBJq5l3f5Ucdptw5R,[]
04abdnqPQe2N4fjztDea6z,"['pop', 'post-teen pop']"
04ei5kNgmDuNAydFhhIHnD,['pop rap']
04gDigrS5kc9YWfZHwBETP,['pop']
