chart_week,list_position,track_id,score,chart_year,chart_month,track_name,duration_ms,release_date,album_type,explicit,artist_id,artist_name,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,distance_to_mean
2018-05-19,1,0b9oOr2ZgvyQu88wzixux9,100,2018,5,This Is America,225773,2018-05-06,single,True,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,81.0,13398641.0,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,4.0,rap/hip-hop,1.0646132278173626
2013-09-28,1,2vwlzO0Qp8kfEtzTsCXfyE,100,2013,9,Wrecking Ball,221360,2013-10-04,album,False,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,84.0,24857826.0,0.53,0.422,5.0,-6.262,1.0,0.0342,0.407,0.0,0.107,0.349,119.964,4.0,pop,1.0763899611403405
2012-06-23,1,3TGRqZ0a2l1LRblBkJoaDx,100,2012,6,Call Me Maybe,193400,2012-01-01,album,False,6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,73.0,4928903.0,0.782,0.58,7.0,-6.548,1.0,0.0407,0.0114,2.28e-06,0.108,0.66,120.021,4.0,pop,2.558156442365991
2009-04-11,1,5R8dQOPq8haW94K7mgERlO,100,2009,4,Poker Face,237200,2008-01-01,album,False,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92.0,32043089.0,0.851,0.806,4.0,-4.618,1.0,0.0787,0.119,1.72e-06,0.121,0.774,119.001,4.0,pop,2.7913625902227976
2023-04-08,1,3Ua0m0YmEjrMi9XErKcNiR,100,2023,4,Like Crazy,212241,2023-03-24,single,False,1oSPZhvZMIrWW5I41kPkkY,Jimin,89.0,9579816.0,0.629,0.733,7.0,-5.445,1.0,0.0419,0.0025,0.0,0.357,0.362,120.001,4.0,k-pop,2.904284585977017
2000-09-16,1,2BcOZ4vOeu2qZowIHrvTYy,100,2000,9,Music,225973,2000-09-19,album,False,6tbjWDEIzxoDsBA1FuhfPW,Madonna,81.0,8125634.0,0.736,0.802,7.0,-8.527,1.0,0.0663,0.00149,0.0876,0.14,0.871,119.854,4.0,pop,3.107844432177495
2013-06-22,1,0n4bITAu0Y0nigrz3MFJMb,100,2013,6,Blurred Lines,263826,2013-01-01,album,True,0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,64.0,1947205.0,0.853,0.599,7.0,-4.756,1.0,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,4.0,pop,3.2915589371827116
2010-12-11,1,1gv4xPanImH17bKZ9rOveR,100,2010,12,Raise Your Glass,202960,2010-10-05,single,True,1KCSPY1glIKqW2TotWuXOR,P!nk,82.0,17190703.0,0.7,0.709,7.0,-5.006,1.0,0.0838,0.0048,0.0,0.029,0.624,122.019,4.0,pop,3.3763305553105756
2004-05-22,1,7z3N2W7Xz1t2G2sAO8wFVH,100,2004,5,Burn,231933,2004-03-23,album,False,23zg3TcAtWQy7J6upgbUnj,USHER,83.0,12223027.0,0.796,0.477,1.0,-7.161,1.0,0.108,0.314,0.0,0.12,0.685,119.928,4.0,r&b,3.634877084172683
2014-05-17,1,3U4isOIWM3VvDubwSI3y7a,100,2014,5,All of Me,269560,2013-08-30,album,False,5y2Xq6xcjJb2jVM54GHK3t,John Legend,77.0,7075416.0,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,4.0,r&b,3.655352092951333
2000-08-12,1,3w8Mw9GHYepoTWOSdiyosj,100,2000,8,Incomplete,274226,1999-11-30,album,True,6x9QLdzo6eBZxJ1bHsDkjg,Sisqo,59.0,1058972.0,0.746,0.443,1.0,-7.693,0.0,0.0771,0.283,0.0,0.14,0.27,119.31,4.0,r&b,3.8978271933531974
2010-11-13,1,3LUWWox8YYykohBbHUrrxd,100,2010,11,We R Who We R,204760,2010-11-19,album,False,6LqNN22kT3074XbTVUrhzX,Kesha,81.0,8210379.0,0.736,0.817,8.0,-4.9,1.0,0.0407,0.00987,0.00167,0.117,0.653,119.95,4.0,pop,4.017506691580249
2000-06-24,1,2N4viTG9njqCa4c46YyWs1,100,2000,6,Be With You,219360,1999-01-01,album,False,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,79.0,11147672.0,0.683,0.866,1.0,-5.436,0.0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,4.0,pop,4.056298851647065
